"valve","NH3_30s","date.time","elapsed.time","days","treatment","group"
9,32.185468755,2024-09-19 03:24:06.588,15,0.625,"bkg","Background"
9,26.725893825,2024-09-19 05:56:01.664,18,0.75,"bkg","Background"
9,49.829859148,2024-09-19 08:27:57.407,20,0.833333333333333,"bkg","Background"
9,81.330849081,2024-09-19 10:59:53.453,23,0.958333333333333,"bkg","Background"
9,108.54078782,2024-09-19 13:31:51.153,25,1.04166666666667,"bkg","Background"
9,69.866389759,2024-09-19 16:03:48.605,28,1.16666666666667,"bkg","Background"
9,32.698002607,2024-09-19 18:35:43.835,30,1.25,"bkg","Background"
9,29.086959069,2024-09-19 21:07:39.301,33,1.375,"bkg","Background"
9,27.202505796,2024-09-19 23:39:34.362,35,1.45833333333333,"bkg","Background"
9,30.248715278,2024-09-20 02:11:28.078,38,1.58333333333333,"bkg","Background"
9,26.308481362,2024-09-20 04:43:24.168,41,1.70833333333333,"bkg","Background"
9,28.142762286,2024-09-20 07:15:18.999,43,1.79166666666667,"bkg","Background"
9,40.19759469,2024-09-20 09:47:14.387,46,1.91666666666667,"bkg","Background"
9,58.379190427,2024-09-20 12:19:11.2,48,2,"bkg","Background"
9,87.104247759,2024-09-20 14:51:06.792,51,2.125,"bkg","Background"
9,45.564968197,2024-09-20 17:23:03.515,53,2.20833333333333,"bkg","Background"
9,27.72358186,2024-09-20 19:54:59.474,56,2.33333333333333,"bkg","Background"
9,25.227603271,2024-09-20 22:26:54.197,58,2.41666666666667,"bkg","Background"
9,26.400334884,2024-09-21 00:58:49.789,61,2.54166666666667,"bkg","Background"
9,27.624439744,2024-09-21 03:30:45.207,63,2.625,"bkg","Background"
9,27.079978764,2024-09-21 06:02:39.835,66,2.75,"bkg","Background"
9,33.136569347,2024-09-21 08:34:35.437,68,2.83333333333333,"bkg","Background"
9,72.713890228,2024-09-21 11:06:29.507,71,2.95833333333333,"bkg","Background"
9,82.715946208,2024-09-21 13:38:25.454,73,3.04166666666667,"bkg","Background"
9,56.030592549,2024-09-21 16:10:21.638,76,3.16666666666667,"bkg","Background"
9,39.145136409,2024-09-21 18:42:17.346,78,3.25,"bkg","Background"
9,25.456730521,2024-09-21 21:14:12.75,81,3.375,"bkg","Background"
9,29.787818592,2024-09-21 23:46:07.825,84,3.5,"bkg","Background"
9,20.910600793,2024-09-22 02:18:02.599,86,3.58333333333333,"bkg","Background"
9,25.766972767,2024-09-22 04:49:58.201,89,3.70833333333333,"bkg","Background"
9,28.70892729,2024-09-22 07:21:52.894,91,3.79166666666667,"bkg","Background"
9,51.857088374,2024-09-22 09:53:47.614,94,3.91666666666667,"bkg","Background"
9,61.902563434,2024-09-22 12:25:44.118,96,4,"bkg","Background"
9,58.952361633,2024-09-22 14:57:37.773,99,4.125,"bkg","Background"
9,31.835353477,2024-09-22 17:29:34.207,101,4.20833333333333,"bkg","Background"
9,24.835276523,2024-09-22 20:01:29.216,104,4.33333333333333,"bkg","Background"
9,36.296235214,2024-09-22 22:33:24.092,106,4.41666666666667,"bkg","Background"
9,22.690818745,2024-09-23 01:05:19.04,109,4.54166666666667,"bkg","Background"
9,26.114193854,2024-09-23 03:37:14.415,111,4.625,"bkg","Background"
9,20.110363419,2024-09-23 06:09:09.687,114,4.75,"bkg","Background"
9,25.75430242,2024-09-23 08:41:04.394,116,4.83333333333333,"bkg","Background"
9,38.19261563,2024-09-23 11:12:59.391,119,4.95833333333333,"bkg","Background"
16,94.090935454,2024-09-18 13:08:34.098,0,0,"bkg","Background"
16,107.98738116,2024-09-18 15:40:29.02,3,0.125,"bkg","Background"
16,70.071227233,2024-09-18 18:12:24.868,5,0.208333333333333,"bkg","Background"
16,54.140075491,2024-09-18 20:44:20.319,8,0.333333333333333,"bkg","Background"
16,46.472978717,2024-09-18 23:16:15.301,10,0.416666666666667,"bkg","Background"
16,48.219651178,2024-09-19 01:48:10.194,13,0.541666666666667,"bkg","Background"
16,42.56043546,2024-09-19 04:20:05.102,15,0.625,"bkg","Background"
16,46.580934007,2024-09-19 06:51:59.821,18,0.75,"bkg","Background"
16,92.53213397,2024-09-19 09:23:55.621,20,0.833333333333333,"bkg","Background"
16,148.07147046,2024-09-19 11:55:52.444,23,0.958333333333333,"bkg","Background"
16,157.55510833,2024-09-19 14:27:50.158,25,1.04166666666667,"bkg","Background"
16,101.30201624,2024-09-19 16:59:46.479,28,1.16666666666667,"bkg","Background"
16,56.804079864,2024-09-19 19:31:41.193,30,1.25,"bkg","Background"
16,48.054718834,2024-09-19 22:03:37.798,33,1.375,"bkg","Background"
16,45.186072135,2024-09-20 00:35:32.125,35,1.45833333333333,"bkg","Background"
16,45.297506417,2024-09-20 03:07:27.346,38,1.58333333333333,"bkg","Background"
16,48.439043102,2024-09-20 05:39:22.483,41,1.70833333333333,"bkg","Background"
16,56.122084226,2024-09-20 08:11:17.513,43,1.79166666666667,"bkg","Background"
16,74.309987368,2024-09-20 10:43:13.263,46,1.91666666666667,"bkg","Background"
16,138.57341921,2024-09-20 13:15:09.506,48,2,"bkg","Background"
16,129.46618438,2024-09-20 15:47:06.141,51,2.125,"bkg","Background"
16,73.083720282,2024-09-20 18:19:02.253,53,2.20833333333333,"bkg","Background"
16,59.302316306,2024-09-20 20:50:57.236,56,2.33333333333333,"bkg","Background"
16,50.526533259,2024-09-20 23:22:52.243,58,2.41666666666667,"bkg","Background"
16,48.182607873,2024-09-21 01:54:47.401,61,2.54166666666667,"bkg","Background"
16,46.673145384,2024-09-21 04:26:43.207,63,2.625,"bkg","Background"
16,48.239126903,2024-09-21 06:58:38.27,66,2.75,"bkg","Background"
16,76.471402939,2024-09-21 09:30:32.746,68,2.83333333333333,"bkg","Background"
16,132.14878074,2024-09-21 12:02:28.595,71,2.95833333333333,"bkg","Background"
16,145.30062034,2024-09-21 14:34:23.301,73,3.04166666666667,"bkg","Background"
16,88.522629893,2024-09-21 17:06:20.134,76,3.16666666666667,"bkg","Background"
16,55.892867222,2024-09-21 19:38:14.484,78,3.25,"bkg","Background"
16,44.801890519,2024-09-21 22:10:10.736,81,3.375,"bkg","Background"
16,39.967855761,2024-09-22 00:42:05.821,84,3.5,"bkg","Background"
16,41.387905934,2024-09-22 03:14:00.585,86,3.58333333333333,"bkg","Background"
16,39.495311126,2024-09-22 05:45:55.632,89,3.70833333333333,"bkg","Background"
16,57.715850486,2024-09-22 08:17:51.499,91,3.79166666666667,"bkg","Background"
16,108.66718817,2024-09-22 10:49:46.361,94,3.91666666666667,"bkg","Background"
16,122.4872324,2024-09-22 13:21:41.275,96,4,"bkg","Background"
16,100.46176152,2024-09-22 15:53:36.825,99,4.125,"bkg","Background"
16,57.279327444,2024-09-22 18:25:31.693,101,4.20833333333333,"bkg","Background"
16,41.940096686,2024-09-22 20:57:26.135,104,4.33333333333333,"bkg","Background"
16,44.142506169,2024-09-22 23:29:22.055,106,4.41666666666667,"bkg","Background"
16,43.73264124,2024-09-23 02:01:17.832,109,4.54166666666667,"bkg","Background"
16,35.927969242,2024-09-23 04:33:12.059,111,4.625,"bkg","Background"
16,44.205845422,2024-09-23 07:05:07.948,114,4.75,"bkg","Background"
16,58.408008787,2024-09-23 09:37:03.019,116,4.83333333333333,"bkg","Background"
16,110.63080999,2024-09-23 12:08:58.161,119,4.95833333333333,"bkg","Background"
