"Time","adjusted_concentration_pentanoic_acid","adjusted_concentration_isoprene","adjusted_concentration_butandione","adjusted_concentration_acetaldehyde","adjusted_concentration_butanone","adjusted_concentration_acetic_acid","adjusted_concentration_H2S","adjusted_concentration_acetone","adjusted_concentration_methylphenol","adjusted_concentration_trimethylamine","adjusted_concentration_ethylphenol","adjusted_concentration_butanoic_acid","adjusted_concentration_formic_acid","adjusted_concentration_methanol","adjusted_concentration_phenol","adjusted_concentration_propanoic_acid","adjusted_concentration_methanthiol","adjusted_concentration_dimethyl_sulfide","adjusted_concentration_methyl_indole","hours"
2024-09-19 04:30:00,0.123344277,0.0557631199999999,0.280447256,0,0.58127984,0.994046843,0.238457897,2.588394514,0.312059874,0.129416225,0.063831542,0.249932481,0,0,0.0601265089999999,0.110895669,0,0.0772169309999999,0.00143575399999996,16
2024-09-19 05:00:00,0.166812355,0.113223904,0.641644038,0.883585372000001,1.969813141,1.438294312,1.115559701,9.465039013,0.532733601,0.302829748,0.0316711239999999,0.284601002,0.0142890810000003,1.71687294,0.354158263,0.321227853,0,0.058373775,0,16.5
2024-09-19 05:30:00,0.163839577,0,0.328471217,0.215707200000001,1.021951783,1.395143218,0.0920845430000004,4.058779609,0.488157546,0.215144391,0.197366737,0.378065863,0.0913852899999998,0.593464570000002,0.227386151,0.227377327,0,0.077365547,0,17
2024-09-19 06:00:00,0.225429647,0.0343637829999999,0.320987097,0.0164192199999995,1.353575472,1.866909906,1.061145776,4.896711601,0.447379932,0.18570898,0.091687308,0.536234431,0.193767585,0.0636004600000035,0.302395652,0.371156947,0.00787904699999997,0.075503539,0,17.5
2024-09-19 06:30:00,0.181492872,0.027992069,0.39217952,0.205322094000001,1.209940247,1.627152486,0.24002525,4.894631163,0.507634148,0.245988427,0.159302959,0.400006597,0.215124202,0.455662859999997,0.217893276,0.270319228,0,0,0,18
2024-09-19 07:00:00,0.097081965,0,0.290322774,0,0.955563979,1.071372491,0,2.803781671,0.412642374,0.131916523,0.060570678,0.235654742,0.12451091,0.740428279999996,0.149724252,0.103698419,0,0,0,18.5
2024-09-19 07:30:00,0.169768012,0,0.431846109,0.51694427,0.938373536,1.188981106,0,0.51985728,0.443204994,0.048897764,0.113527714,0.380481376,0.228517439,0.856765280000005,0.187087801,0.049240559,0,0.012470665,0,19
2024-09-19 08:00:00,0.0830076,0.060545352,0.210851176,0.485457137999999,0.446159723,0.748145783,1.344014954,0,0.352126931,0.099777492,0.057190101,0.278893335,0,1.26976417,0.200487026,0,0.00919882999999999,0.100257146,0.0879206219999999,19.5
2024-09-19 08:30:00,0.121754449,0.073211863,0.454925035,1.291462771,0.469765503,1.014249072,0.314625031,0,0.416529711,0.07790246,0.172632806,0.325794753,0.0198092519999999,2.07780722,0.277102099,0.025827595,0.013076517,0.07374447,0,20
2024-09-19 09:00:00,0.119610469,0.138885365,0.412603434,2.029612888,0.657464897,0.470881725,0,0,0.50500064,0.0393765509999999,0.17607289,0.465314066,0.163783219,2.53570336,0.276316786,0.172278356,0.038704219,0.119194927,0,20.5
2024-09-19 09:30:00,0.270155608,0.178585583,0.506192618,3.138265125,0.592516151,2.371352283,0.541321214,0,0.545964181,0,0.120232985,0.623736502,0.497812351,2.75017405000001,0.357168777,0.474225856,0.024731891,0.032102073,0,21
2024-09-19 10:00:00,0.714807404,0.390091105,0.614186499,5.88260109,0.701124182,5.390777176,0.780854556,0,0.639973612,0.091082666,0.180637891,1.334777391,1.569352855,1.6983997,0.469626722,1.068018635,0.01120519,0.018446729,0,21.5
2024-09-19 10:30:00,2.193703397,0.403076173,0.751184528,7.42292973,1.108871873,23.264908358,0,0,0.662707498,0.118679303,0.199271221,5.341517105,3.828393393,2.86721821,0.453865262,4.628824897,0,0,0,22
2024-09-19 11:00:00,2.128399922,0.496157132,0.859411227,6.95650318,1.020681785,24.255525143,0,0,0.465203379,0.331698378,0.305992357,4.509568499,7.297590424,3.12293376,0.34960079,4.375800676,0.023649865,0.051187855,0,22.5
2024-09-19 11:30:00,2.011930789,0.497494192,0.89372377,7.1772966,0.958376637,19.785139338,0,0,0.445527441,0.454203003,0.215239931,4.510248249,4.168820177,2.92402972,0.35080311,3.968732105,0,0,0,23
2024-09-19 12:00:00,2.392986247,0.477370064,0.802899999,7.45443908,0.776149821,22.239476597,0,0,0.539135898,0.388381293,0.251839587,5.757889057,3.150563531,2.87181322,0.406265095,4.79972935,0,0,0,23.5
2024-09-19 12:30:00,2.271865258,0.335345833,0.775863483,6.86517178,0.44700362,17.750446426,0,0,0.38029008,0.355028432,0.224081761,5.273466843,1.078462184,1.9100024,0.300955763,3.992456211,0,0,0,24
2024-09-19 13:00:00,2.678347621,0.163206036,0.610831726,4.9224202,0.471425495,20.95390317,0,0,0.301901555,0.115127538,0.08957354,6.154050453,0.328164382,2.25045838,0.276578539,5.179067385,0,0.017516611,0,24.5
2024-09-19 13:30:00,3.782196186,0.272331634,0.699135077,5.79394742,0.925210684,27.32881314,0,0,0.450770703,0.190670262,0.288133913,8.367932869,0.893556972,2.92783915,0.350345659,6.888575037,0.00214790099999998,0.052302226,0.044724196,25
2024-09-19 14:00:00,4.568040325,0.240429318,0.660943849,4.26601357,0.744398016,31.85568665,0,0,0.486973335,0.137111482,0.206416972,9.769928389,0,1.26295412,0.449016661,8.136369517,0,0.069723974,0,25.5
2024-09-19 14:30:00,5.593666943,0.288624758,0.766288013,3.75853773,0.588027214,35.92310887,0,0,0.5233994,0.150909109,0.213962299,11.929468146,0,0.475406630000002,0.506928642,9.560006294,0,0.119431963,0,26
2024-09-19 15:00:00,4.451839119,0.236870037,0.5183877,2.94961317,0.213228422,27.63430141,0,0,0.406425346,0.038730532,0.063706103,9.103482279,0,0.268759269999997,0.431617087,7.433617162,0,0.074383326,0,26.5
2024-09-19 15:30:00,5.530117831,0.147538628,0.550438291,2.00361801,0.171626972,33.72107704,0,0,0.442150625,0,0.195196189,11.328675216,0,0.449112469999996,0.37559474,9.269075567,0,0.167441552,0,27
2024-09-19 16:00:00,3.093008683,0.191429408,0.190522125,0.8437242,0,18.22198498,0,0,0.293546283,0.071865015,0.013299688,6.308690385,0,0,0.241341556,5.102683015,0,0.148550611,0,27.5
2024-09-19 16:30:00,2.906645959,0.124021267,NA,2.00324514,NA,18.75602091,NA,NA,0.295585072,NA,NA,6.029367502,0,0,0.285842515,4.928303105,NA,NA,NA,28
2024-09-19 17:00:00,2.740870581,0,NA,1.87356934,NA,17.17985197,NA,NA,0.241376048,NA,NA,5.792588409,0,1.23576769,0.157324398,4.505485087,NA,NA,NA,28.5
2024-09-19 17:30:00,3.808444121,0,NA,1.85782136,NA,23.6791415,NA,NA,0.276473432,NA,NA,8.250217396,0,0.221099549999998,0.267121915,6.520905678,NA,NA,NA,29
2024-09-19 18:00:00,3.229719279,0.0332759970000001,NA,1.37782473,NA,18.55463319,NA,NA,0.302444327,NA,NA,6.942186861,0,0,0.284837042,5.624881762,NA,NA,NA,29.5
2024-09-19 18:30:00,2.842255485,0.07190292,NA,1.32384438,NA,15.98590519,NA,NA,0.340385712,NA,NA,6.039576817,0,1.07087085000001,0.215935573,4.953501482,NA,NA,NA,30
2024-09-19 19:00:00,2.085314716,0,NA,1.00619209,NA,10.54708342,NA,NA,0.275854181,NA,NA,4.223153443,0,0.623767229999999,0.188886121,3.358412263,NA,NA,NA,30.5
2024-09-19 19:30:00,1.117709569,0,NA,0.7569985,NA,5.09617544,NA,NA,0.305138454,NA,NA,2.264709509,0,1.75243654000001,0.133392948,1.846533028,NA,NA,NA,31
2024-09-19 20:00:00,0.706993702,0,NA,0.56747519,NA,2.12731446,NA,NA,0.266266648,NA,NA,1.400293191,0,3.70261241,0.11423838,1.304358184,NA,NA,NA,31.5
2024-09-19 20:30:00,0.770681338,0,NA,1.65692864,NA,3.560009851,NA,NA,0.342047849,NA,NA,1.413710936,0.00275996299999992,5.52135509,0.208614021,1.384194016,NA,NA,NA,32
2024-09-19 21:00:00,0.655414656,0,NA,0,NA,2.206356536,NA,NA,0.263571702,NA,NA,0.846089166,0.180260215,0,0.182316708,0.687439956,NA,NA,NA,32.5
2024-09-19 21:30:00,0.452932087,0,NA,0,NA,0,NA,NA,0.133969459,NA,NA,0.274825784,0.0781101770000001,0,0.10365379,0.0103845229999999,NA,NA,NA,33
2024-09-19 22:00:00,0.480966446,0.0281334209999999,NA,0,NA,1.065741317,NA,NA,0.201580376,NA,NA,0.533054236,0.241466677,0,0.246752015,0.180284983,NA,NA,NA,33.5
2024-09-19 22:30:00,0.883701378,0.143605215,NA,1.29456359,NA,3.126375619,NA,NA,0.222264192,NA,NA,1.467638512,0.202111669,0,0.363996432,1.139434985,NA,NA,NA,34
2024-09-19 23:00:00,0.499345143,0.046900991,NA,0,NA,2.061750451,NA,NA,0.239217171,NA,NA,0.70031535,0.422657886,0,0.24181668,0.676122848,NA,NA,NA,34.5
2024-09-19 23:30:00,0.548867871,0.0191479369999999,NA,0,NA,2.148134772,NA,NA,0.182182682,NA,NA,0.549329092,0.472793382,0,0.244625182,0.639279464,NA,NA,NA,35
2024-09-20,0.501415425,0.111989323,NA,0,NA,1.875496007,NA,NA,0.175138868,NA,NA,0.55241952,0.429780319,0,0.162883402,0.502474411,NA,NA,NA,35.5
2024-09-20 00:30:00,0.32610561,0.0363474359999999,NA,0,NA,1.368598045,NA,NA,0.169199054,NA,NA,0.448859425,0.480244261,0,0.154431964,0.405917046,NA,NA,NA,36
2024-09-20 01:00:00,0.448463635,0.0203638860000001,NA,0,NA,1.94243349,NA,NA,0.202618629,NA,NA,0.657813858,0.600758136,0,0.167919719,0.489155948,NA,NA,NA,36.5
2024-09-20 01:30:00,0.502462718,0.101872626,NA,0,NA,2.145596163,NA,NA,0.181894225,NA,NA,0.758704486,0.577112645,0,0.16622921,0.587057661,NA,NA,NA,37
2024-09-20 02:00:00,0.417275604,0.00691317300000005,NA,0,NA,1.835526557,NA,NA,0.173058019,NA,NA,0.675566898,0.72581428,0,0.167312088,0.525190981,NA,NA,NA,37.5
2024-09-20 02:30:00,0.412455611,0.0743624000000001,NA,0,NA,1.355452252,NA,NA,0.216631835,NA,NA,0.298376901,0.39388269,0,0.251211296,0.364856187,NA,NA,NA,38
2024-09-20 03:00:00,0.31664691,0.075325206,NA,0,NA,0.65103078,NA,NA,0.161319554,NA,NA,0.42937807,0.382170157,0,0.2303227,0.28871238,NA,NA,NA,38.5
2024-09-20 03:30:00,0.314261596,0.091653338,NA,0,NA,0.717610774000001,NA,NA,0.212196018,NA,NA,0.360593815,0.267255482,0,0.225868292,0.316536297,NA,NA,NA,39
2024-09-20 04:00:00,0.326473776,0.157344297,NA,0.630479056999999,NA,0.720238107,NA,NA,0.159629204,NA,NA,0.466858777,0.31217822,0,0.270215907,0.34572132,NA,NA,NA,39.5
2024-09-20 04:30:00,0.300363036,0.184298588,NA,2.144906669,NA,1.266879321,NA,NA,0.212449189,NA,NA,0.489422835,0.308183202,0,0.21915162,0.369957048,NA,NA,NA,40
2024-09-20 05:00:00,0.41040783,0.162894255,NA,0,NA,1.061415906,NA,NA,0.148316905,NA,NA,0.446110441,0.463510045,0,0.140957882,0.337727188,NA,NA,NA,40.5
2024-09-20 05:30:00,0.359054994,0.183818094,NA,0,NA,1.856520513,NA,NA,0.093194222,NA,NA,0.537262235,0.614559569,0,0.197253924,0.611570441,NA,NA,NA,41
2024-09-20 06:00:00,0.362594836,0.0778353549999999,NA,0,NA,1.858222913,NA,NA,0.226901681,NA,NA,0.534511015,0.604488261,0,0.178980596,0.601316413,NA,NA,NA,41.5
2024-09-20 06:30:00,0.370784203,0.150881108,NA,0,NA,1.824049798,NA,NA,0.17402298,NA,NA,0.649586881,0.750586789,0,0.120346038,0.763572448,NA,NA,NA,42
2024-09-20 07:00:00,0.352278499,0.098962948,NA,0,NA,1.94853485,NA,NA,0.163140021,NA,NA,0.665470712,0.76398256,0,0.171875141,0.532342464,NA,NA,NA,42.5
2024-09-20 07:30:00,0.377616482,0.0755422960000001,NA,0,NA,1.985691133,NA,NA,0.205625147,NA,NA,0.572375335,0.839431479,0,0.161332922,0.666441792,NA,NA,NA,43
2024-09-20 08:00:00,0.423349046,0.0740816050000001,NA,0,NA,1.672537217,NA,NA,0.179042441,NA,NA,0.624617549,0.920872275,0,0.098922083,0.374864581,NA,NA,NA,43.5
2024-09-20 08:30:00,0.381291916,0.194809599,NA,0,NA,1.669971852,NA,NA,0.170847557,NA,NA,0.397934499,0.587695435,0,0.13970847,0.237770871,NA,NA,NA,44
2024-09-20 09:00:00,0.472571012,0.237556101,NA,1.044006441,NA,1.796656778,NA,NA,0.187812744,NA,NA,0.66734764,0.524669726,0,0.241822514,0.518915956,NA,NA,NA,44.5
2024-09-20 09:30:00,0.307811955,0.234416085,NA,0.838512968,NA,0.792168504,NA,NA,0.187530848,NA,NA,0.613929036,0.63950517,0,0.194623201,0.531068291,NA,NA,NA,45
2024-09-20 10:00:00,0.368442386,0.25539703,NA,1.189139325,NA,1.577159085,NA,NA,0.174489046,NA,NA,0.684038184,0.659049208,0,0.186002655,0.608169036,NA,NA,NA,45.5
2024-09-20 10:30:00,0.453056179,0.161374665,NA,1.51698633,NA,1.923037389,NA,NA,0.131558596,NA,NA,0.709746404,0.739743644,0,0.223937675,0.601477777,NA,NA,NA,46
2024-09-20 11:00:00,0.336795527,0.125991137,NA,1.28200972,NA,2.249629745,NA,NA,0.100740552,NA,NA,0.607793609,0.576489522,0.298550839999997,0.124632702,0.578744501,NA,NA,NA,46.5
2024-09-20 11:30:00,0.478791222,0.08888476,NA,1.15829667,NA,3.614786272,NA,NA,0.074199395,NA,NA,0.880250719,0.574393794,0.881477590000003,0.025436064,0.714188669,NA,NA,NA,47
2024-09-20 12:00:00,0.436884906,0.099279362,NA,0.92602104,NA,5.610431208,NA,NA,0.064203003,NA,NA,1.056368372,0.670935868,1.17483435,0.093762761,1.045913068,NA,NA,NA,47.5
2024-09-20 12:30:00,0.739254714,0.095079145,NA,1.47616873,NA,8.965875707,NA,NA,0.095987302,NA,NA,1.773974738,1.851444287,2.23418185,0.104632411,1.49505258,NA,NA,NA,48
2024-09-20 13:00:00,0.80777191,0.073615863,NA,2.11067945,NA,8.626017616,NA,NA,0.046412488,NA,NA,1.869210338,2.496477894,2.60367476,0.061699591,1.418682254,NA,NA,NA,48.5
2024-09-20 13:30:00,1.664290478,0,NA,0.450306100000001,NA,12.47028963,NA,NA,0.0392029629999999,NA,NA,3.808370994,2.41162057,2.48186547,0.080671321,3.042330038,NA,NA,NA,49
2024-09-20 14:00:00,1.826506385,0,NA,1.59236656,NA,12.92402493,NA,NA,0.116575592,NA,NA,4.13054361,1.24890308,1.97162572000001,0.106790554,3.334688351,NA,NA,NA,49.5
2024-09-20 14:30:00,2.427973478,0.058666547,NA,1.30899971,NA,15.73031725,NA,NA,0.077684259,NA,NA,5.168076022,0.480549939,1.98860549,0.107305843,4.254847969,NA,NA,NA,50
2024-09-20 15:00:00,1.656096617,0.220428245,NA,0.675102160000002,NA,9.59253595,NA,NA,0.043368557,NA,NA,3.307863455,0.125651592,0.467699400000001,0.118415596,2.719491117,NA,NA,NA,50.5
2024-09-20 15:30:00,1.484848943,0.152234326,NA,0,NA,7.43592521,NA,NA,0.070340737,NA,NA,2.959700836,0,0.467950909999999,0.058361079,2.398163952,NA,NA,NA,51
2024-09-20 16:00:00,0.811523938,0.146127066,NA,0,NA,2.76643385,NA,NA,0.106047248,NA,NA,1.855350768,0,0,0.039637375,1.314270855,NA,NA,NA,51.5
2024-09-20 16:30:00,0.740299258,0.0960236609999999,NA,0,NA,2.28245761,NA,NA,0.078518479,NA,NA,1.505580085,0,0,0.0596920670000001,1.136623092,NA,NA,NA,52
2024-09-20 17:00:00,1.081775556,0.02720844,0.440936428,0.159331660000001,0.236103466,6.15340555,0,1.08300675,0.016056669,0.00887255099999984,0.127125131,2.635378745,0,0.223008390000004,0.095564467,1.825338821,0,0.054244569,0,52.5
2024-09-20 17:30:00,1.343271606,0,0.846264996,0.422958869999999,0.72314344,7.063168,0.901911707,2.00047683,0.023775984,0.0265355189999998,0.113182515,2.915670531,0,0.754275759999999,0.040323589,2.199970384,0,0.082833523,0.228504035,53
2024-09-20 18:00:00,0.89856086,0,0.745437734,0.00081635999999996,0.65650789,3.6667708,1.696014356,1.49563397,0,0.0853199280000001,0.081533716,1.98185812,0,0.70040925,0.039906879,1.458067831,0,0.058286514,0.132069003,53.5
2024-09-20 18:30:00,0.753942556,0.0557047559999999,1.130728398,0.43889049,0.985997294,1.65927504,0.180187815,1.47568398,0.067220616,0.0575304109999999,0.021675907,1.61015742,0,1.39584474999999,0,1.190800168,0,0.086222286,0.143946782,54
2024-09-20 19:00:00,0.252276781,0.126965351,0.479421167,0.070256989999999,0.491608046,0,0.673516996,0,0.108653804,0,0,0.665625508,0,0.295033570000001,0,0.74559661,0.00324799200000001,0.161134809,0.034237662,54.5
2024-09-20 19:30:00,0.333836472,0,0.147695046,0,0.248597006,0,1.364610071,0,0.04775299,0,0.00121762199999997,0.658932555,0,0,0.0362545379999999,0.809169466,0.019996906,0.179109414,0.07465565,55
2024-09-20 20:00:00,0.0747929940000001,0,0.352108104,0,0,0,0.305162381,0,0.024404181,0,0.034424198,0,0,0,0,0.110924078,0.049461643,0.095794744,0.202545993,55.5
2024-09-20 20:30:00,0.0325542430000001,0,0.0537131270000002,0,0,0,1.533239674,0,0.00625651500000002,0,0.018261136,0,0,0,0,0.0609500010000001,0,0.130630629,0.082040372,56
2024-09-20 21:00:00,0.00495838300000007,0,0.419772418,0,0,0,0.236268889,0,0.02995736,0,0,0,0,0,0.045142388,0,0,0.151107176,0.218140036,56.5
