"hour_group","hour_label","Category","Category_Sum","Total","Percentage"
90,"90-95","Other",24.2090601411981,43.3134587290007,55.8926967542974
90,"90-95","Phenol",3.8777114421646,43.3134587290007,8.95267096175873
90,"90-95","VFA",5.65362602971777,43.3134587290007,13.0528159043839
90,"90-95","VSC",5.13772841879153,43.3134587290007,11.8617366738979
95,"95-100","Indole",0,11.8734337868741,0
95,"95-100","Other",7.65728759267788,11.8734337868741,64.4909276467514
95,"95-100","Phenol",0.883794314350387,11.8734337868741,7.44346016674141
95,"95-100","VFA",2.23346390960826,11.8734337868741,18.8105980940183
95,"95-100","VSC",1.09888797023753,11.8734337868741,9.25501409248886
100,"100-105","Indole",0,0,NA
100,"100-105","Other",0,0,NA
100,"100-105","Phenol",0,0,NA
100,"100-105","VFA",0,0,NA
100,"100-105","VSC",0,0,NA
105,"105-110","Indole",0,0,NA
105,"105-110","Other",0,0,NA
105,"105-110","Phenol",0,0,NA
105,"105-110","VFA",0,0,NA
105,"105-110","VSC",0,0,NA
110,"110-115","Indole",0,0,NA
110,"110-115","Other",0,0,NA
110,"110-115","Phenol",0,0,NA
110,"110-115","VFA",0,0,NA
110,"110-115","VSC",0,0,NA
115,"115-120","Indole",0,0,NA
115,"115-120","Other",0,0,NA
115,"115-120","Phenol",0,0,NA
115,"115-120","VFA",0,0,NA
115,"115-120","VSC",0,0,NA
