RoundedTime,Cycle number,m_z_33_methanol,m/z_35_H2S,m_z_109_4-Methylphenol,m_z_61+43_acetic_acid,m_z_71+89_butanoic_acid,m_z_85+103_pentanoic_acid,m_z_57+75_propanoic_acid,m_z_45.00_acetaldheyde,m_z_47.00_formic_acid,m_z_49.00_methanthiol,m_z_59.00_acetone,m_z_60.00_trimethylamine,m_z_63.00_dimethyl_sulfide,m_z_69.00_isopren,m_z_73.00_2_butanone,m_z_79.00_benzen,m_z_87.00_2_3_butandion,m_z_95.00_phenol,m_z_123.00_4_ethyl_phenol,m_z_132.00_3_methyl_indole,m_z_33_methanol_ug,m_z_35_H2S_ug,m_z_109_4-Methylphenol_ug,m_z_61+43_acetic_acid_ug,m_z_71+89_butanoic_acid_ug,m_z_85+103_pentanoic_acid_ug,m_z_45.00_acetladheyde_ug,m_z_47.00_formic_acid_ug,m_z_49.00_methanthiol_ug,m_z_59.00_acetone_ug,m_z_63.00_dimethyl_sulfide_ug,m_z_73.00_2_butanone_ug,m_z_87.00_2_3_butandion_ug,m_z_95.00_phenol_ug,m_z_109.00_4_methyl_phenol_ug,m_z_123.00_4_ethyl_phenol_ug,m_z_132.00_3_methyl_indole_ug,m_z_57+75_propanoic_acid_ug,m_z_60.00_trimethylamine_ug,m_z_69.00_isoprene_ug
19/09/2024 05.00,5355.5,26.65990263,4.594169357,0.205140238,1.635134054,0.307393724,0.224064393,0.474895145,5.974727197,1.140605455,0.107081851,6.6795466,0.285355445,0.220017612,0.212541885,1.040255048,0.230195469,0.346499877,0.192784741,0.121180845,0.153726,34.92104878,6.386340719,0.906627897,4.014030072,1.119694216,0.935375918,10.81614305,2.146191683,0.210237981,15.85666725,0.558091636,3.108645654,1.219300192,0.741510593,0.906627897,0.605030981,0.824110658,1.438032419,0.689449045,0.59166567
19/09/2024 05.30,5424,26.59609535,4.398149841,0.176917347,1.578580963,0.329103435,0.214639202,0.429851685,5.833039226,1.151056557,0.122438411,4.242370024,0.243130575,0.24360127,0.187010232,0.720420405,0.206416742,0.264275345,0.161900493,0.143314551,0.180273489,34.83746944,6.113854591,0.78189537,3.875199982,1.198772727,0.896029654,10.55964307,2.165856736,0.240388115,10.07102036,0.617913403,2.152867959,0.929959864,0.622720088,0.78189537,0.715540015,0.966429257,1.301636089,0.587429277,0.520591668
19/09/2024 06.00,5492.5,26.16975265,5.205509346,0.170921703,1.823495239,0.361186287,0.219619702,0.503613622,5.692654874,1.152926125,0.131501606,4.523443831,0.238219147,0.222963262,0.191425537,0.817942461,0.208489131,0.259074245,0.185524716,0.119697772,0.178592005,34.27901525,7.236162561,0.755397312,4.476430976,1.315635826,0.916821179,10.30550306,2.169374562,0.258182239,10.73826533,0.565563504,2.444297945,0.911657688,0.71358626,0.755397312,0.597626302,0.957414977,1.524994988,0.575562746,0.532882817
19/09/2024 06.30,5560.5,26.40669633,4.687741767,0.180332144,1.73328677,0.34056194,0.224620822,0.4932435,5.484100163,1.201348095,0.124800864,5.016372848,0.274387988,0.198281697,0.189013981,0.836830153,0.203600124,0.274314075,0.154745693,0.140607296,0.162358082,34.58938104,6.516415439,0.796987242,4.254981542,1.240510798,0.937698779,9.927953173,2.26048655,0.245026412,11.90843628,0.502956812,2.500740972,0.965285203,0.595200479,0.796987242,0.702023246,0.87038644,1.493593168,0.662950505,0.526169624
19/09/2024 07.00,5628.5,26.937296,4.611736598,0.165911389,1.619972765,0.315288587,0.205391851,0.449609127,5.389527435,1.165370078,0.120437999,4.819884621,0.237525549,0.198025158,0.16449199,0.808677505,0.182713004,0.279194314,0.15125818,0.118107696,0.18437505,35.28439847,6.410760887,0.733253971,3.976811185,1.148451576,0.857425801,9.75674667,2.192789414,0.236460628,11.44199018,0.502306081,2.41661102,0.982458303,0.58178641,0.733253971,0.589687379,0.988417338,1.361463699,0.57388694,0.457906278
19/09/2024 07.30,5697,27.04463193,4.637115297,0.176368066,1.682138241,0.320588369,0.208023928,0.451779073,5.432977789,1.218035702,0.118067153,4.822114321,0.233166677,0.195794613,0.177016524,0.821431065,0.206963181,0.325635467,0.158027217,0.133771781,0.145930409,35.42499475,6.446039738,0.779467796,4.129418912,1.167756251,0.868413632,9.835405533,2.291886366,0.231805853,11.4472833,0.496648133,2.454723115,1.145880311,0.607822252,0.779467796,0.66789493,0.782319228,1.368034524,0.563355441,0.492771579
19/09/2024 08.00,5765.5,27.57934792,5.246756499,0.15734483,1.784482984,0.33191647,0.205713531,0.483609839,5.635460313,1.246893968,0.122430094,4.60982398,0.250996303,0.200120818,0.172728004,0.788185528,0.204407,0.28125723,0.153996499,0.108067908,0.176271702,36.12540403,7.293500102,0.695393621,4.380661234,1.209019323,0.85876868,10.20196285,2.346186801,0.240371786,10.94332435,0.507621885,2.35537383,0.989717506,0.592318844,0.695393621,0.539560789,0.94497605,1.464421431,0.606433712,0.480833366
19/09/2024 08.30,5833.5,27.76723763,4.871996173,0.176003235,1.931781015,0.323152277,0.201673502,0.473557757,5.800051888,1.346217905,0.120362124,4.797212096,0.257261354,0.193227952,0.187361992,0.795508014,0.188558875,0.333046106,0.164933553,0.129189717,0.141356258,36.37151543,6.772546923,0.777855404,4.742257718,1.17709539,0.841903236,10.49992557,2.533077197,0.236311659,11.38816756,0.490137597,2.377255976,1.171957647,0.634386187,0.777855404,0.645017629,0.75779763,1.433982669,0.621570739,0.521570881
19/09/2024 09.00,5901.5,28.3800534,4.615128747,0.191280859,2.192072569,0.37266575,0.221520745,0.569346883,6.43219943,1.46394712,0.114104501,5.847818073,0.261480193,0.22032123,0.216184985,0.960923154,0.170601617,0.330391753,0.165258466,0.142039827,0.176686187,37.17422539,6.415476303,0.845375656,5.38123782,1.35745024,0.924757242,11.64431226,2.754599426,0.224025823,13.8822155,0.558861787,2.871574229,1.162617233,0.635635903,0.845375656,0.709175578,0.947198064,1.724042211,0.631763903,0.601807188
19/09/2024 09.30,5970,28.2834633,4.934168666,0.202159759,2.671467564,0.433159611,0.237787884,0.634204911,6.885417282,1.679400058,0.108955093,5.643704092,0.246256072,0.179293375,0.229815048,0.85290367,0.165018748,0.372956363,0.186700607,0.131347894,0.167703059,37.04770476,6.858972715,0.893455516,6.558086851,1.577801604,0.992665804,12.46477969,3.160001051,0.213915791,13.39766652,0.454791469,2.548774258,1.312398054,0.718109105,0.893455516,0.655792962,0.899040358,1.920439137,0.59498081,0.639750017
