"treatment","group","elapsed.time","valve","Methanol","Hydrogen sulfide","4-Methylphenol","Acetic acid","Butanoic acid","Pentanoic acid","Propanoic acid","Acetaldehyde","Formic acid","Methanethiol","Acetone","Trimethylamine","Dimethyl sulfide","Isoprene","Butanone","Butanedione","Phenol","4-ethyl phenol","Methyl indole","SOAV"
"1.5","Low acid",76,3,0.000262379883939394,2.23883983125,1.4321053,0.801502210843373,9.27625380434782,3.64958300333333,0.370303149883041,2.58062270088889,0,1.45419334444444,0.0000142754815873015,0.527866100000002,0,0.00408588975,0.00104430009924242,42.9063769277778,0.0415429444047619,0,0,65.2845961623882
"1.5","Low acid",76,10,0.000110529084848485,4.348387345,0,0.573660577108434,2.75031468260869,1.47742657333333,0.185857075321638,0,0,0,0,0,0,0,0.000208242890151515,0,0,0,0,9.3359650253471
"1.5","Low acid",76,15,0,1.070780705,0,0,7.0366922,0.961457783333333,0,0,0,0,0,0,0,0,0.000474951231060606,23.0678809111111,0,0,3.84869755,35.9859841006755
"1.5","Low acid",78,3,0,0.14718585125,6.77903068333333,0.180443717670683,0,0,0,1.02102700777778,0,0.840153655555555,0,0,0,0,0.00190686071666667,42.1996043333333,0.000462934126984126,0.0603445858333333,0,51.2301596295977
"1.5","Low acid",78,10,0,0.0621690124999996,0,0,0,0,0,0,0,0,0,0.665273083333334,0,0,0,0,0,0.318957790833333,0,1.04639988666667
"1.5","Low acid",78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2006199333333,0,0,4.34286663333333,46.5434865666667
"1.5","Low acid",81,3,0.0000782976396262627,0,3.21837781666667,0,0,0.636944926666667,0.0685376259649122,0.901195798888889,0.0000170093385606062,0,0,0,0.00645178739130431,0,0,20.1460663055556,0.00196413416666667,0,0,24.9796337022788
"1.5","Low acid",81,10,0,0,0,0.0397613944176706,0,0,0.107348265789474,0,0,0,0,0,0,0,0.000187829698484848,0,0.00489443392857143,0,0,0.152191923834201
"1.5","Low acid",81,15,0,0,0,0,0,0,0,0.427866506888889,0,0.871604977777778,0,0,0,0,0.000297904743939394,37.7834148388889,0,0,0,39.0831842282995
"1.5","Low acid",84,3,0.0000727515844646464,0,2.23182298333334,0.196828699879518,0,0.183620648333334,0.0575510718128655,2.28699754466667,0,0,0.0000120024655079365,3.18987100416667,0.0144404775362319,0.002395918,0.000371600327272727,26.7065788444444,0.014927141031746,0,0,34.8854906875821
"1.5","Low acid",84,10,0.000102228991737374,1.32373055375,0,0.220174010722892,0,0.231332163333333,0,0.946081849333334,0.000165667388484849,0.786725388888889,0.0000202811756269841,0.414824941666667,0.0239404957971015,0.00194042689583333,0.000749555177272728,0,0,0,0,3.94978756312117
"1.5","Low acid",84,15,0,2.52562874,0,0,0,0,0,0.258953054666667,0,0,0,0,0,0.00634749647916667,0.0000274641886363639,31.1350801944444,0.00484929293650794,0,4.40873091666667,38.3396171593821
"1.5","Low acid",86,3,0.000123773061929293,3.13606200375,13.7098893333333,0.383550930040161,0,1.80698922833333,0.126757378070175,1.46067796222222,0,0.0819615555555556,0.0000458410768968254,0,0.0762661073913044,0.00379295690277778,0.00123368400075758,19.3176889333333,0.00704047369047619,0.155052005833333,0,40.2671321665956
"1.5","Low acid",86,10,0.0000715718592020202,2.69452887,8.49049908333333,0.416125199919679,0,1.46390385333333,0.134716448421053,0,0,1.20750678888889,0.00000878540184920636,0.0446867875000007,0.0279626286956522,0.00107227954861111,0,0,0,0,6.35204195,20.8331242469016
"1.5","Low acid",86,15,0,0,0,0,0,0.736717448333333,0,0.136613374888889,0,0,0,0,0,0.00113596156944444,0.000228552041666667,17.9893131833333,0,0,6.40141785,25.2654263701667
"1.5","Low acid",89,3,0.0000818492174444445,1.17712489625,0,0.272633494859438,0.0400489681159423,0.204444671666666,0.101598138011696,0,0.000133123664090909,0,0.0000442934714047619,1.2622264875,0.102482317681159,0,0,13.6712159055556,0.0164556370238095,0.00147099750000001,6.6897122,23.5396729805172
"1.5","Low acid",89,10,0.00010616266320202,0.0259175625000001,2.81025798333333,0.0978978237751004,1.17773303768116,0.0963164266666661,0.0652290087134502,0,0.000214266514318182,2.26710733333333,0.000000055644357142871,3.57490605,0,0,0,0.434949805555557,0.00931914714285714,0.00314612999999998,0,10.5631007935233
"1.5","Low acid",89,15,0,3.59305848125,2.67660438333333,0,0,0,0,0,0,0,0,0,0.155763245942029,0,0,11.3469300555556,0.00540625678571428,0.00177025500000001,0,17.7795326778666
"1.5","Low acid",91,3,0.000215905433353535,3.29328961833333,2.29183973333333,0.510398398554217,2.89899257246377,0,0.163340569415205,1.48510358355556,0.000303795189090909,0,0.000113810467785714,0,0,0.00194234907638889,0.00047978376439394,24.7123854055556,0,0.3766140975,0,35.735019622642
"1.5","Low acid",91,10,0.000158789294565657,0.709609537083333,8.98472353333334,1.21892381060241,2.68025513333333,0.0753192533333336,0.451303372046784,0.863487681555556,0.000213293578636364,0,0.000135525900214286,0,0,0.0000491984305555545,0.000869935096212121,4.60140535555555,0.024282171468254,0,0,19.6107365906121
"1.5","Low acid",91,15,0,4.78629146708333,18.0034354333333,0.795353257590361,9.38110348985508,2.49349603333333,0.246154563274854,0.894786865555556,0,0,0.000119904088261905,3.84362229583334,0.194584740724638,0,0.00174899949166667,25.8254866888889,0.0257189923015873,0,0,66.4919027313542
"1.5","Low acid",94,3,0.000141722868383838,0,0.337628983333332,0.991055781405622,5.09723360144928,3.04418495,0.687365832222222,4.04539385133333,0.0000754518043939393,0,0.000131678472769841,9.0354958,0.163787632753623,0.00704586172916667,0.00151701047954545,28.1491312055556,0,0.151185214166667,0,51.7113745775739
"1.5","Low acid",94,10,0.000189916053838384,1.75916949333333,0,1.22287734164659,8.4515241057971,6.176475305,0.51531516625731,3.902283158,0.000361260538030303,1.1046563,0.0000939876187222222,16.002888525,0.150998834927536,0.008591662625,0.00154625177045455,3.80703983888889,0.0413131003174603,0.284597044166667,0,43.4299212919409
"1.5","Low acid",94,15,0,0,2.96365413333333,0.617200391044177,13.6526981014493,5.063385855,0.0221518273099415,1.567959012,0.000066871975530303,1.00614363333333,0.0000491550451507936,18.115525525,0.380665775362319,0.003846870875,0.00332637630454545,32.8659920888889,0,0,3.64392245,79.9065880669215
"1.5","Low acid",96,3,0.000479789852606061,0,26.1981958,1.61540520228916,13.8016871318841,2.895477065,0.604889966549708,5.13986794533333,0.000451772000530303,1.05831368888889,0.000188920944738095,13.50918605,0.468867993188406,0.00980320045138889,0.00219471863712121,25.4239859333333,0.0292543649603175,0.312487125,0,91.0707366683136
"1.5","Low acid",96,10,0.000285019265636364,0,0,1.29841736614458,8.90431076231884,4.266079585,0.48866181374269,3.71609618533333,0.000360197196439394,2.02951288888889,0.0000850048390238095,18.8583583625,0.0979936671014493,0.0135048153472222,0.00153148787348485,12.8477427666667,0.0103323417460317,0.400650775,0,52.9339230389643
"1.5","Low acid",96,15,0,1.35469427375,0,0.910931227590361,13.466785657971,5.41286811,0.130468365847953,0.411081451333333,0.000334258852348485,0.960005322222222,0.0000322370945,13.240664825,0.528240935797102,0.0103790246180556,0.00123288749166667,16.3563408,0.0107255725793651,0,0,52.7947849501479
"1.5","Low acid",99,3,0.0000608214623232323,0.111612850833334,0,0.0409277044176706,8.10531017391305,3.61795892833333,0.0224133464327485,0.628439020444444,0.000182760305909091,1.58025566666667,0,13.2743168708333,0.251994260434783,0.000233621868055557,0.00124830428636364,11.2278708111111,0,0.461521384166667,0,39.3243465255098
"1.5","Low acid",99,10,0.0000297387605050504,4.59650397458333,0.366812166666669,0.316375489959839,8.20507193478261,1.63984864833333,0.0309179194152046,0,0.0000645354147727272,0,0,20.4686595333333,0.0525203582608696,0.00253754607638889,0.00154286952045455,0.624957811111112,0,0.356300714166667,0,36.6621432403851
"1.5","Low acid",99,15,0,0,0,0,3.99193486956522,1.69763453833333,0,0,0,1.7123627,0,10.6038748083333,0.193504106086957,0,0.000621339802272727,5.76634417777778,0,0.247840919166667,5.74517735,29.9592948090656
"1.5","Low acid",101,3,0.000000309047878787904,6.433746255,3.50456180000001,0,0,0,0,0,0,1.44072334444444,0,0,0,0,0.0000292256424242425,0,0,0.0244093741666667,0,11.4034703083014
"1.5","Low acid",101,10,0,0,9.08705195,0,0,0,0,0,0,0.420308711111111,0,0,0,0,0,0,0,0,10.06710545,19.5744661111111
"1.5","Low acid",101,15,0,0,0,0,0,0,0,0,0,4.13113931111111,0,0,0,0,0,0,0,0,0,4.13113931111111
"1.5","Low acid",104,3,0,0,0,0,0,0,0,0,0,0.989885888888889,0,0,0,0,0,0,0,0,0,0.989885888888889
"1.5","Low acid",104,10,0,0,0,0,0,0,0,0,0,5.90268555555556,0,0,0,0,0,0,0,0.0888880133333333,0,5.99157356888889
"1.5","Low acid",104,15,0,0,0,0,0,0,0,0,0,4.91313462222222,0,0,0.0347408604347826,0,0,0,0,0,4.67416348333333,9.62203896599034
"1.5","Low acid",106,3,0,0.66436184875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66436184875
"1.5","Low acid",106,10,0,2.08701028375,0,0,0,0,0,0,0,1.00222134444444,0,0,0,0,0,0,0,0,0,3.08923162819444
"1.5","Low acid",106,15,0,0,1.54539081666667,0,0,0,0,0,0,1.06577727777778,0,0,0,0,0,0,0,0,0,2.61116809444444
"1.5","Low acid",109,3,0.0000224275326464647,1.34565214125,0,0,0,0,0.018377421988304,0,0.000117926158939394,0,0,1.61264399166667,0.0825078149275363,0,0,0,0.0182824063888889,0,0,3.07760412991298
