elapsed.time,treatment,group,NH3.flux
96,Mp,Machine plot,0.112420007
96,Mp,Machine plot,0.283424341
96,Mp,Machine plot,0.307387622
96,Mp,Machine plot,0.201696018
99,Mp,Machine plot,0.165867098
99,Mp,Machine plot,0.241559599
99,Mp,Machine plot,0.191484306
99,Mp,Machine plot,0.160709112
101,Mp,Machine plot,0.126531772
101,Mp,Machine plot,0.104861824
101,Mp,Machine plot,0.068834762
101,Mp,Machine plot,0.026768063
104,Mp,Machine plot,0.014561579
104,Mp,Machine plot,0.064118618
104,Mp,Machine plot,0.068109575
104,Mp,Machine plot,-0.000690761
106,Mp,Machine plot,-0.019108397
106,Mp,Machine plot,0.04888184
106,Mp,Machine plot,0.068430161
106,Mp,Machine plot,-0.001232022
109,Mp,Machine plot,0.014724065
109,Mp,Machine plot,0.066189267
109,Mp,Machine plot,0.078013192
109,Mp,Machine plot,0.042535462
111,Mp,Machine plot,0.018836493
111,Mp,Machine plot,0.061315751
111,Mp,Machine plot,0.074167005
111,Mp,Machine plot,0.040866801
114,Mp,Machine plot,0.015345116
114,Mp,Machine plot,0.082612844
114,Mp,Machine plot,0.114164486
114,Mp,Machine plot,0.039946553
116,Mp,Machine plot,0.036285067
116,Mp,Machine plot,0.122379412
116,Mp,Machine plot,0.188649763
116,Mp,Machine plot,0.065942101
119,Mp,Machine plot,0.014986878
119,Mp,Machine plot,0.179755718
119,Mp,Machine plot,0.169593981
119,Mp,Machine plot,0.105927665
122,Mp,Machine plot,0.157739604
122,Mp,Machine plot,0.114395181
122,Mp,Machine plot,0.090137383
122,Mp,Machine plot,0.187771771
124,Mp,Machine plot,0.099535017
124,Mp,Machine plot,0.096648967
124,Mp,Machine plot,0.066595237
124,Mp,Machine plot,0.001003311
127,Mp,Machine plot,0.039207396
127,Mp,Machine plot,0.067871123
127,Mp,Machine plot,0.057062565
127,Mp,Machine plot,-0.017168932
129,Mp,Machine plot,0.015050832
129,Mp,Machine plot,0.063250233
129,Mp,Machine plot,0.059996838
129,Mp,Machine plot,-0.017466014
132,Mp,Machine plot,0.00670387
132,Mp,Machine plot,0.06260615
132,Mp,Machine plot,0.064099752
132,Mp,Machine plot,-0.019549526
134,Mp,Machine plot,0.001699374
134,Mp,Machine plot,0.064151713
134,Mp,Machine plot,0.060492461
134,Mp,Machine plot,-0.022417124
